name,aka,origin,genres,links,intro,about
combobox,,"Portland, Oregon, USA","Alt-rock,Punk,Crank wave","https://www.combobox.band,https://soundcloud.com/user-413903244-326605094","combobox is an alt-punk band from Portland, Oregon founded by [[artists/scribble t|Tyler Schreiber]] and Zach Kay.",combobox is a high-energy [[genres/punk|alt-punk]] and [[genres/crank wave|crank wave]] act 
Helens,,"Portland, Oregon, USA",Shoegaze,https://spotify.link/6VEhq5Hc0Db,"Helens is a shoegaze band from Portland, Oregon.","Over several EPs, Helens has cultivated a distinctive brand of dreamy shoegaze that draws its inspiration from '90s artists like [Slowdive](https://en.m.wikipedia.org/wiki/Slowdive) as well as [[genres/dream-pop|dream pop]]. Helens' two vocalists sing in a detached, distant manner, while the instruments in the band produce a loud, distorted, often static mass of sound."
Miss Grit,,"New York, New York, USA",Alt-rock,"https://missgrit.com,https://missgrit.bandcamp.com,https://open.spotify.com/artist/0kUsW40KML1SWGeOAvGtzD,https://soundcloud.com/missgrit","Miss Grit is the solo project of Margaret Sohn, a New York-based musician.",Miss Grit produces introspective alt-rock that often brings to mind the noise and genre fusion of [St. Vincent](https://ilovestvincent.com).
NONBINARY GIRLFRIEND,,"Portland, Oregon, USA","Punk,Bedroom pop","https://www.instagram.com/nonbinarygirlfriend,https://nonbinarygirlfriend.bandcamp.com,https://open.spotify.com/artist/4i3JiS1urNPGIrIcho9UtU","NONBINARY GIRLFRIEND is a Portland, Oregon-based dreamy bedroom punk group fronted by Anaïs Genevieve.","Anaïs speaks to the experience of gender queerness in a very frank manner through NONBINARY GIRLFRIEND. The band's sound is at once alt-punk and bedroom pop, with bits of psychedelia sprinkled in for good measure."
Raavi,,"Boston, Massachusetts, USA",Alt-rock,https://open.spotify.com/artist/2TOe8Cf1hnlJTQWcTStQ64,"Originally from Boston, Raavi is a rock band based out of Brooklyn.",
Sadgasm,,"Salem, Oregon, USA","Punk,Alt-rock","https://sadgasm.bandcamp.com,https://open.spotify.com/artist/0BC6VmtLePzMuXkUxgI3sN","Hailing from Salem, Oregon, Sadgasm is an emo rock band with a punkish flair.",
scribble t,Tyler Schreiber,"Portland, Oregon, USA","Electronica,Post-classical","https://tylerschreiber.com,https://scribble-t.bandcamp.com",scribble t is the solo project of guitarist and synthesist Tyler Schreiber.,"scribble t is a project born out of Tyler Schreiber's developing fascination with hardware synthesis techniques. Tracks range from post-classical soundscape experiments and orchestrated synthesis to folktronica explorations of various song forms.
scribble t is currently developing an interesting audiovisual set and hopes to unveil it, both in live and recorded formats, sometime in the next year."
New Venusians,,"Sydney, Australia",Neo-soul,"https://soundcloud.com/newvenusians,https://open.spotify.com/artist/4MOSp2FWrMsU8ef6HhkWn9","New Venusians were a [[genres/neo-soul|progressive soul/R&B]] outfit from Sydney, Australia.",
mui zyu,Eva Liu,"London, UK","Bedroom pop,Electronica,Folktronica",https://www.muizyu.com/,"mui zyu is the solo project of Eva Liu, who is also the vocalist of the trio [[artists/dama scout|Dama Scout]].","As mui zyu, Eva Liu develops [[genres/bedroom pop|bedroom pop]]-adjacent soundscapes with an ear for sound design. Her body of work is a patchwork of drum machines, field recordings, traditional Chinese instruments, and synthesizers, among other things."
The Growth Eternal,"TGE,ghalani","Tulsa, Oklahoma, USA","Jazz,Electronica,Soul",https://thegrowtheternal.bandcamp.com,"The Growth Eternal is an Afro-surrealist fusion project from bassist, vocodist, and composer Ghalani.","With the ear of an experimental jazz bassist and the mind of an Afro-surrealist, composer ghalani explores the palettes of [[genres/jazz|jazz]], [[genres/soul|soul]], and other genres while developing compositions that explore Black identity, spirituality, and the environment, among other things. Recordings are centered aroung ghalani's virtuosic bass technique, as well as their vocoder."
Puppy Angst,,"Philadelphia, Pennsylvania, USA","Indie pop,Dream pop",https://puppyangst.bandcamp.com/,"Puppy Angst is an indie dream pop quartet from Philadelphia, founded in 2018.","Fronted by Alyssa Milman, Puppy Angst play a form of dream pop that combines introspective (at times, downright sad) lyrics with catchy, noisy guitar music."
A.M. Overcast,AM Overcast,"Winnipeg, Manitoba, Canada","Punk,Alt-rock,Math rock",https://am-overcast.bandcamp.com/,A.M. Overcast is a [[genres/punk|punk]] and [[genres/math rock|math rock]] band from Winnipeg.,
as a sketch pad,,"Tokyo, Japan","Emo,Alt-rock",https://asasketchpad.bandcamp.com/music,"as a sketch pad is an [[genres/alt-rock|alt-rock]] and [[genres/emo|emo]] band based in Tokyo, Japan.",
Ore.,,"Portland, Oregon, USA",Alt-rock,https://orepdx.bandcamp.com/music,"Ore. is an [[genres/alt-rock|alt-rock]] band from Portland, Oregon.",
Karima Walker,,"Tuscon, Arizona, USA",Electronica,https://www.karimawalker.com/,"Karima Walker is an interdisciplinary artist based out of Tuscon, Arizona.",
Roméo Poirier,Swim Platform,"Brussels, Belgium","Electronica,Modern electroacoustic",https://romeopoirier.bandcamp.com/music,Roméo Poirier is an electroacoustic musician from Brussels.,
Otto Benson,OTTO,"New York, New York, USA",Lo-fi,https://open.spotify.com/artist/7idebBFVTiHclz7stsvsSw,"Otto Benson, also known as OTTO, is an electronic musician and singer-songwriter from New York.","OTTO's work combines minimal effects-driven guitar playing with electronic percussion and unique custom instruments. His music is accompanied by original artwork which, like his music, combines digital with other media."
The JuJu Exchange,,"Chicago, Illinois, USA","Jazztronica,Neo-soul",https://open.spotify.com/artist/2z18t1v0xbF5ehh25MMfPV,The JuJu Exchange is a [[genres/jazztronica|jazztronica]] group from Chicago.,"Working within the frameworks of [[genres/neo-soul|neo-soul]] and [[genres/jazz|modern jazz]], The JuJu Exchange produce slick downtempo music that slyly interweaves electronics, modern soul ideas, and more traditional jazz instrumentation."
Jacob Mann,,"Los Angeles, California, USA",Jazztronica,https://open.spotify.com/artist/6cM1vbrKTztN2uNjH8ub6F,Jacob Mann is a keyboardist and composer originally from Las Vegas who has collaborated with much of the [[genres/jazztronica|jazztronica]] scene in LA.,"Jacob Mann's style is typically fairly subtle - dry, minimal electronic percussion sits behind vibrating e-piano chords and occasional acoustic instrumentation. Even when using more aggressive textures, repetition - as well as the lo-fi production he typically employs - tends to tamp down the spikiness of the effect. His music is generally fun, and certainly doesn't lack a sense of humor."
Mountains,,"Daegu, South Korea","Math rock,Emo",https://open.spotify.com/artist/686v1kwTGE84qdWD5y9t13,Mountains is a [[genres/math rock|mathy]] [[genres/emo|emo]] band from Daegu.,
Bad Pioneer,Matty2k,"Portland, Oregon, USA","Electronica,Experimental synth",https://open.spotify.com/artist/3HM2SVddDluj4G8B5gbby1,"Bad Pioneer is a synthesist from Portland, Oregon.",
TALsounds,Natalie Chami,"Chicago, Illinois, USA","Ambient pop,Electronica,Experimental synth",https://open.spotify.com/artist/3W8UkPK2qxmnwqcBxqf1vL,Natalie Chami - or TALsounds - is a [[genres/electronica|drone & ambient]] synthesist from Chicago.,
Brett Naucke,,"Chicago, Illinois, USA","Experimental synth,Modern electroacoustic,Electronica",https://open.spotify.com/artist/2MFjLlkCkf3kmSqBT0q5vs,Brett Naucke is an influential experimental synthesist from Chicago.,
Cardioid,,"Portland, Oregon, USA","Portland indie,Alt-rock,Dream pop",https://open.spotify.com/artist/7tTin7JRbqJNBACAgI6M1s,"Cardioid is the solo moniker of Lizzy Ellison, a project which sees her developing expansive [[genres/alt-rock|alt-rock]] and [[genres/dream pop|dream pop]] ideas.",
Veana Baby,,"Portland, Oregon, USA","Neo-soul,Lo-fi",https://open.spotify.com/artist/4Jbb3moZATsxTYTWqQk9q4,"Veana Baby is a [[genres/lo-fi|lo-fi]] [[genres/neo-soul|soul]] artist based in Portland, Oregon.",
Sharada Shashidhar,,"Los Angeles, California, USA","Jazz,Neo-soul,Jazztronica",https://open.spotify.com/artist/1S5hEP3i3XrnBeW602MbUq,Sharada Shashidhar is a vocalist & composer from LA that produces inventive [[genres/neo-soul|progressive soul]] and [[genres/jazz|jazz]].,
Woolworm,,"Vancouver, BC, Canada",Punk,https://open.spotify.com/artist/3OgTi0fpxJszq3fm2J1QuZ,"Woolworm is a [[genres/punk|post-punk]] band from Vancouver, BC.",Woolworm is like if Morrissey fronted a post-hardcore band.
Troth,,"Hobart, Australia","Ambient pop,Trip hop,Post-classical",https://open.spotify.com/artist/35zT3zevS4o8FiFCu1ug0r,Troth is an experimental [[genres/ambient pop|ambient pop]] duo from Hobart with a knack for minimalist sound design.,
The Banana Creatures,,"Seattle, Washington, USA",Alt-rock,https://open.spotify.com/artist/0EkGxV6N6GYRcSIYoRpSOs,The Banana Creatures are a creative [[genres/alt-rock|alt-rock]] outfit whose members live in Portland and Seattle.,
Bug Seance,,"Portland, Oregon, USA","Shoegaze,Emo",https://open.spotify.com/artist/71uSVXsY7RjAZZ5uxIBUNQ,Bug Seance is a [[genres/shoegaze|shoegazy]] [[genres/emo|emo]] band from Portland.,
Apifera,,"Los Angeles, California, USA","Jazz,Jazztronica,Post-rock",https://open.spotify.com/artist/7zgoELe3akRCheZJ8XnDpr,Apifera is a psychedelic [[genres/jazz|jazz]] and [[genres/post-rock|post-rock]] outfit from LA.,
Nitai Hershkovits,,"Tel Aviv, Israel",Jazz,https://open.spotify.com/artist/7lysajaDFp2cX097v7H4SN,,
Rejoicer,,"Tel Aviv, Israel",Israeli indie,https://open.spotify.com/artist/1N5ZTU16lJJL9hbPAMvGnk,,
Amir Bresler,,"Tel Aviv, Israel",Jazz,https://open.spotify.com/artist/0YkHSziGnJb3civlSaKWk1,,
Yonatan Albalak,,"Tel Aviv, Israel","Jazz,Jazztronica",https://open.spotify.com/artist/0LE9zlJRjl1zAnqPOqgA7C,,
Italia 90,,"London, UK",Crank wave,https://open.spotify.com/artist/4NArCLoaLaa9cQkm2dk3PP,,
Forty Feet Tall,,"Portland, Oregon, USA",Punk,https://open.spotify.com/artist/5Y0hXvdIjFtKZ5UFYMAAeF,,
Black Shelton,,"Portland, Oregon, USA","Rock,Punk",https://open.spotify.com/artist/5GQjsgFJjvqKHOJZ6I9RZG,,
Dama Scout,,"London, UK",Alt-rock,https://open.spotify.com/artist/7Dqpx5e1ZUeBjTUMP3Y58v,,
