name,links,intro,about
Vinterens hval,https://open.spotify.com/track/0C8JW855BEkWyUbV2RowRG,,
Kjøl og kilde,https://open.spotify.com/track/50FNLcXyCDVmnPcKMwcCa4,,
Båndet av regn,https://open.spotify.com/track/2ai8ZzbHecvib90hFhS0nK,,
Mannen uten nåde,https://open.spotify.com/track/3BARrgyYUnAxqoHSibUK8m,,
Hymne,https://open.spotify.com/track/3qBe0RAaTyOWMRhzeQlqEU,,
Å blomstre og å dø,https://open.spotify.com/track/5VlsBhRuGWTY02t4HsSlY3,,
Stillhet,https://open.spotify.com/track/2Whte7i3rBoUEgiYgNzwZq,,
